game,hype,team1,team2,shortDate,gameInfo,possessions,eFG,perDrama,conference1,conference2,conference,tournament
6246,8.766617862,Connecticut,Kentucky,"Monday, April 7, 2014",Connecticut 60  Kentucky 54,60,0.45959596,0.0354,American,SEC,0,1
6245,1,Siena,Fresno St.,"Saturday, April 5, 2014",Siena 81  Fresno St. 68,72,0.420353982,0.0108,MAAC,Mountain West,0,0
6244,1,Murray St.,Yale,"Thursday, April 3, 2014",Murray St. 65  Yale 57,67,0.377862595,0.022,Ohio Valley,Ivy League,0,0
6243,3.840645161,Minnesota,SMU,"Thursday, April 3, 2014",Minnesota 65  SMU 63,63,0.54787234,0.047,Big Ten,American,0,0
6241,9.066472868,Kentucky,Wisconsin,"Saturday, April 5, 2014",Kentucky 74  Wisconsin 73,61,0.527777778,0.0504,SEC,Big Ten,0,1
6240,8.422384428,Connecticut,Florida,"Saturday, April 5, 2014",Connecticut 63  Florida 53,57,0.5,0.03,American,SEC,0,1
6238,8.766617862,Kentucky,Michigan,"Sunday, March 30, 2014",Kentucky 75  Michigan 72,57,0.565217391,0.0487,SEC,Big Ten,0,1
6237,7.894024691,Connecticut,Michigan St.,"Sunday, March 30, 2014",Connecticut 60  Michigan St. 54,60,0.452631579,0.041,American,Big Ten,0,1
6236,9.399231508,Wisconsin,Arizona,"Saturday, March 29, 2014",Wisconsin 64  Arizona 63,61,0.4375,0.0592,Big Ten,Pac Ten,0,1
6235,6.268273092,Florida,Dayton,"Saturday, March 29, 2014",Florida 62  Dayton 52,56,0.453125,0.0091,SEC,A10,0,1
6234,1,Murray St.,Pacific,"Tuesday, April 1, 2014",Murray St. 98  Pacific 75,76,0.574380165,0.0157,Ohio Valley,WCC,0,0
6233,1,Yale,VMI,"Tuesday, April 1, 2014",Yale 75  VMI 62,66,0.486363636,0.0247,Ivy League,Big South,0,0
6232,1,Siena,Fresno St.,"Monday, March 31, 2014",Siena 61  Fresno St. 57,63,0.435779817,0.034,MAAC,Mountain West,0,0
6231,1,Fresno St.,Siena,"Wednesday, April 2, 2014",Fresno St. 89  Siena 75,68,0.60326087,0.0142,Mountain West,MAAC,0,0
6230,4.453035144,SMU,Clemson,"Tuesday, April 1, 2014",SMU 65  Clemson 59,60,0.494949495,0.0443,American,ACC,0,0
6228,3.519389978,Minnesota,Florida St.,"Tuesday, April 1, 2014",Minnesota 67  Florida St. 64,66,0.448113208,0.0475,Big Ten,ACC,0,0
6227,2.424821527,SMU,California,"Wednesday, March 26, 2014",SMU 67  California 65,55,0.533333333,0.0453,American,Pac Ten,0,0
6226,1,Fresno St.,Old Dominion,"Wednesday, March 26, 2014",Fresno St. 71  Old Dominion 64,68,0.485436893,0.0187,Mountain West,Conference USA,0,0
6225,1,Siena,Illinois St.,"Wednesday, March 26, 2014",Siena 61  Illinois St. 49,65,0.394495413,0.0165,MAAC,Missouri Valley,0,0
6224,1,Murray St.,Towson,"Thursday, March 27, 2014",Murray St. 85  Towson 73,69,0.547619048,0.034,Ohio Valley,CAA,0,0
6223,5.099523052,Florida St.,Louisiana Tech,"Wednesday, March 26, 2014",Florida St. 78  Louisiana Tech 75,72,0.450381679,0.0378,ACC,Conference USA,0,0
6222,8.422384428,Arizona,San Diego St.,"Thursday, March 27, 2014",Arizona 70  San Diego St. 64,57,0.475490196,0.0353,Pac Ten,Mountain West,0,1
6221,1,Pacific,San Diego,"Wednesday, March 26, 2014",Pacific 75  San Diego 60,68,0.461538462,0.0275,WCC,WCC,1,0
6220,1,Yale,Columbia,"Wednesday, March 26, 2014",Yale 72  Columbia 69,63,0.598958333,0.0433,Ivy League,Ivy League,1,0
6219,1,VMI,Ohio,"Wednesday, March 26, 2014",VMI 92  Ohio 90,73,0.5859375,0.0263,Big South,MAC,0,0
